subscription_id,user_id,plan_name,price_monthly,max_streams,max_resolution,max_profiles,status,start_date,end_date,auto_renew,created_at
105,69,Standard,43.99,2,1080p,5,active,2025-04-16,,true,2025-04-16 00:00:00
106,70,Basic,29.99,1,720p,2,expired,2022-07-06,2022-09-18,false,2022-07-06 00:00:00
107,70,Standard,43.99,2,1080p,5,active,2024-10-03,,true,2024-10-03 00:00:00
108,71,Premium,59.99,4,4K,5,active,2022-01-27,,true,2022-01-27 00:00:00
109,72,Basic,29.99,1,720p,2,active,2021-12-07,,true,2021-12-07 00:00:00
110,73,Standard,43.99,2,1080p,5,cancelled,2023-05-12,2024-01-09,false,2023-05-12 00:00:00
111,73,Basic,29.99,1,720p,2,active,2022-01-25,,true,2022-01-25 00:00:00
112,74,Standard,43.99,2,1080p,5,active,2024-09-14,,true,2024-09-14 00:00:00
113,75,Premium,59.99,4,4K,5,active,2024-09-06,,true,2024-09-06 00:00:00
114,76,Standard,43.99,2,1080p,5,active,2022-08-06,,true,2022-08-06 00:00:00
115,77,Basic,29.99,1,720p,2,active,2022-11-02,,true,2022-11-02 00:00:00
116,78,Standard,43.99,2,1080p,5,active,2020-02-12,,true,2020-02-12 00:00:00
117,79,Premium,59.99,4,4K,5,cancelled,2022-06-28,2022-12-01,false,2022-06-28 00:00:00
118,79,Premium,59.99,4,4K,5,active,2024-02-16,,true,2024-02-16 00:00:00
119,80,Premium,59.99,4,4K,5,active,2024-07-30,,true,2024-07-30 00:00:00
120,81,Standard,43.99,2,1080p,5,active,2023-12-14,,true,2023-12-14 00:00:00
121,82,Basic,29.99,1,720p,2,cancelled,2021-09-28,2022-06-08,true,2021-09-28 00:00:00
122,82,Premium,59.99,4,4K,5,active,2021-07-07,,true,2021-07-07 00:00:00
123,83,Basic,29.99,1,720p,2,active,2023-11-21,,true,2023-11-21 00:00:00
124,84,Standard,43.99,2,1080p,5,active,2021-08-01,,true,2021-08-01 00:00:00
125,85,Standard,43.99,2,1080p,5,active,2022-02-28,,true,2022-02-28 00:00:00
126,86,Basic,29.99,1,720p,2,active,2024-07-31,,true,2024-07-31 00:00:00
127,87,Standard,43.99,2,1080p,5,cancelled,2021-03-01,2021-12-29,true,2021-03-01 00:00:00
128,87,Basic,29.99,1,720p,2,expired,2021-12-06,2022-02-11,false,2021-12-06 00:00:00
129,87,Standard,43.99,2,1080p,5,active,2021-12-21,,true,2021-12-21 00:00:00
130,88,Basic,29.99,1,720p,2,active,2023-07-11,,true,2023-07-11 00:00:00
131,89,Basic,29.99,1,720p,2,active,2022-09-12,,true,2022-09-12 00:00:00
132,90,Standard,43.99,2,1080p,5,active,2025-01-22,,true,2025-01-22 00:00:00
133,91,Standard,43.99,2,1080p,5,active,2022-11-11,,true,2022-11-11 00:00:00
134,92,Standard,43.99,2,1080p,5,cancelled,2023-11-28,2024-01-03,false,2023-11-28 00:00:00
135,92,Standard,43.99,2,1080p,5,cancelled,2022-03-12,2022-07-16,true,2022-03-12 00:00:00
136,92,Basic,29.99,1,720p,2,active,2023-09-21,,true,2023-09-21 00:00:00
137,93,Standard,43.99,2,1080p,5,active,2022-09-27,,true,2022-09-27 00:00:00
138,94,Basic,29.99,1,720p,2,active,2024-05-22,,true,2024-05-22 00:00:00
139,95,Standard,43.99,2,1080p,5,active,2020-11-20,,true,2020-11-20 00:00:00
140,96,Basic,29.99,1,720p,2,active,2024-12-03,,true,2024-12-03 00:00:00
141,97,Standard,43.99,2,1080p,5,active,2025-02-18,,true,2025-02-18 00:00:00
142,98,Standard,43.99,2,1080p,5,expired,2024-12-11,2025-11-20,false,2024-12-11 00:00:00
143,98,Standard,43.99,2,1080p,5,active,2022-11-07,,true,2022-11-07 00:00:00
144,99,Standard,43.99,2,1080p,5,expired,2024-04-10,2024-11-23,false,2024-04-10 00:00:00
145,99,Standard,43.99,2,1080p,5,active,2023-12-17,,true,2023-12-17 00:00:00
146,100,Basic,29.99,1,720p,2,active,2023-11-05,,true,2023-11-05 00:00:00
147,101,Standard,43.99,2,1080p,5,active,2021-07-03,,true,2021-07-03 00:00:00
148,102,Basic,29.99,1,720p,2,cancelled,2021-02-16,2021-10-17,false,2021-02-16 00:00:00
149,102,Standard,43.99,2,1080p,5,active,2022-10-10,,true,2022-10-10 00:00:00
150,103,Premium,59.99,4,4K,5,active,2024-01-30,,true,2024-01-30 00:00:00
151,104,Standard,43.99,2,1080p,5,expired,2023-12-23,2024-11-26,false,2023-12-23 00:00:00
152,104,Basic,29.99,1,720p,2,active,2023-11-07,,true,2023-11-07 00:00:00
153,105,Standard,43.99,2,1080p,5,active,2022-05-15,,true,2022-05-15 00:00:00
154,106,Standard,43.99,2,1080p,5,cancelled,2024-04-12,2024-08-15,true,2024-04-12 00:00:00
155,106,Basic,29.99,1,720p,2,active,2020-09-09,,true,2020-09-09 00:00:00
156,107,Standard,43.99,2,1080p,5,cancelled,2024-11-25,2025-02-17,false,2024-11-25 00:00:00
157,107,Standard,43.99,2,1080p,5,expired,2021-05-13,2021-11-13,true,2021-05-13 00:00:00
158,107,Basic,29.99,1,720p,2,active,2023-10-25,,true,2023-10-25 00:00:00
159,108,Basic,29.99,1,720p,2,active,2020-07-27,,true,2020-07-27 00:00:00
160,109,Premium,59.99,4,4K,5,cancelled,2022-11-14,2022-12-22,true,2022-11-14 00:00:00
161,109,Standard,43.99,2,1080p,5,active,2023-01-12,,true,2023-01-12 00:00:00
162,110,Basic,29.99,1,720p,2,expired,2020-10-03,2021-08-04,true,2020-10-03 00:00:00
163,110,Basic,29.99,1,720p,2,active,2023-05-07,,true,2023-05-07 00:00:00
164,111,Standard,43.99,2,1080p,5,active,2023-11-20,,true,2023-11-20 00:00:00
165,112,Standard,43.99,2,1080p,5,expired,2025-05-09,2025-09-15,true,2025-05-09 00:00:00
166,112,Standard,43.99,2,1080p,5,active,2024-05-05,,true,2024-05-05 00:00:00
167,113,Premium,59.99,4,4K,5,expired,2023-01-19,2023-04-07,false,2023-01-19 00:00:00
168,113,Basic,29.99,1,720p,2,active,2024-07-15,,true,2024-07-15 00:00:00
169,114,Standard,43.99,2,1080p,5,active,2024-07-03,,true,2024-07-03 00:00:00
170,115,Standard,43.99,2,1080p,5,active,2024-05-05,,true,2024-05-05 00:00:00
171,116,Standard,43.99,2,1080p,5,active,2024-09-28,,true,2024-09-28 00:00:00
172,117,Standard,43.99,2,1080p,5,active,2021-12-24,,true,2021-12-24 00:00:00
173,118,Standard,43.99,2,1080p,5,active,2025-04-30,,true,2025-04-30 00:00:00
174,119,Premium,59.99,4,4K,5,active,2023-08-30,,true,2023-08-30 00:00:00
175,120,Basic,29.99,1,720p,2,active,2024-11-02,,true,2024-11-02 00:00:00
176,121,Standard,43.99,2,1080p,5,cancelled,2020-10-23,2021-05-13,true,2020-10-23 00:00:00
177,121,Premium,59.99,4,4K,5,cancelled,2024-11-14,2025-07-20,false,2024-11-14 00:00:00
178,121,Basic,29.99,1,720p,2,active,2024-06-10,,true,2024-06-10 00:00:00
179,122,Standard,43.99,2,1080p,5,expired,2020-09-13,2020-11-15,true,2020-09-13 00:00:00
180,122,Basic,29.99,1,720p,2,active,2020-06-07,,true,2020-06-07 00:00:00
181,123,Standard,43.99,2,1080p,5,active,2023-06-10,,true,2023-06-10 00:00:00
182,124,Standard,43.99,2,1080p,5,cancelled,2022-03-19,2022-06-26,false,2022-03-19 00:00:00
183,124,Premium,59.99,4,4K,5,active,2020-05-11,,true,2020-05-11 00:00:00
184,125,Premium,59.99,4,4K,5,active,2022-09-05,,true,2022-09-05 00:00:00
185,126,Basic,29.99,1,720p,2,expired,2022-12-23,2023-08-12,false,2022-12-23 00:00:00
186,126,Standard,43.99,2,1080p,5,active,2022-12-28,,true,2022-12-28 00:00:00
187,127,Standard,43.99,2,1080p,5,active,2024-04-11,,true,2024-04-11 00:00:00
188,128,Premium,59.99,4,4K,5,active,2023-10-11,,true,2023-10-11 00:00:00
189,129,Basic,29.99,1,720p,2,cancelled,2022-06-25,2022-11-17,false,2022-06-25 00:00:00
190,129,Basic,29.99,1,720p,2,expired,2020-06-18,2020-12-08,false,2020-06-18 00:00:00
191,129,Standard,43.99,2,1080p,5,active,2021-02-03,,true,2021-02-03 00:00:00
192,130,Standard,43.99,2,1080p,5,cancelled,2020-02-23,2020-04-19,false,2020-02-23 00:00:00
193,130,Premium,59.99,4,4K,5,active,2023-09-23,,true,2023-09-23 00:00:00
194,131,Standard,43.99,2,1080p,5,active,2020-03-22,,true,2020-03-22 00:00:00
195,132,Standard,43.99,2,1080p,5,active,2023-08-28,,true,2023-08-28 00:00:00
196,133,Standard,43.99,2,1080p,5,expired,2025-01-02,2026-01-01,false,2025-01-02 00:00:00
197,133,Standard,43.99,2,1080p,5,cancelled,2020-05-09,2020-10-04,true,2020-05-09 00:00:00
198,133,Basic,29.99,1,720p,2,active,2020-08-28,,true,2020-08-28 00:00:00
199,134,Premium,59.99,4,4K,5,cancelled,2023-05-05,2023-09-18,true,2023-05-05 00:00:00
200,134,Standard,43.99,2,1080p,5,active,2023-10-05,,true,2023-10-05 00:00:00
201,135,Premium,59.99,4,4K,5,expired,2021-06-08,2021-07-27,true,2021-06-08 00:00:00
202,135,Standard,43.99,2,1080p,5,active,2024-10-13,,true,2024-10-13 00:00:00
203,136,Standard,43.99,2,1080p,5,expired,2022-09-29,2023-05-05,true,2022-09-29 00:00:00
204,136,Standard,43.99,2,1080p,5,active,2022-11-02,,true,2022-11-02 00:00:00
205,137,Premium,59.99,4,4K,5,active,2022-01-09,,true,2022-01-09 00:00:00
206,138,Standard,43.99,2,1080p,5,cancelled,2020-04-27,2021-01-25,false,2020-04-27 00:00:00
207,138,Premium,59.99,4,4K,5,active,2023-03-21,,true,2023-03-21 00:00:00
208,139,Premium,59.99,4,4K,5,active,2024-03-23,,true,2024-03-23 00:00:00
209,140,Standard,43.99,2,1080p,5,active,2023-05-11,,true,2023-05-11 00:00:00
210,141,Basic,29.99,1,720p,2,expired,2022-01-06,2022-12-28,false,2022-01-06 00:00:00
211,141,Standard,43.99,2,1080p,5,active,2021-07-27,,true,2021-07-27 00:00:00
212,142,Standard,43.99,2,1080p,5,cancelled,2023-01-10,2023-10-19,false,2023-01-10 00:00:00
213,142,Basic,29.99,1,720p,2,active,2024-02-27,,true,2024-02-27 00:00:00
214,143,Standard,43.99,2,1080p,5,active,2020-03-05,,true,2020-03-05 00:00:00
215,144,Basic,29.99,1,720p,2,cancelled,2020-08-24,2021-05-08,false,2020-08-24 00:00:00
216,144,Basic,29.99,1,720p,2,active,2024-12-04,,true,2024-12-04 00:00:00
217,145,Basic,29.99,1,720p,2,active,2022-01-12,,true,2022-01-12 00:00:00
218,146,Standard,43.99,2,1080p,5,cancelled,2021-08-02,2021-12-08,true,2021-08-02 00:00:00
219,146,Basic,29.99,1,720p,2,expired,2023-10-10,2024-06-11,false,2023-10-10 00:00:00
220,146,Basic,29.99,1,720p,2,active,2020-08-24,,true,2020-08-24 00:00:00
221,147,Standard,43.99,2,1080p,5,active,2020-03-04,,true,2020-03-04 00:00:00
222,148,Standard,43.99,2,1080p,5,active,2021-02-13,,true,2021-02-13 00:00:00
223,149,Premium,59.99,4,4K,5,expired,2021-01-15,2021-02-17,false,2021-01-15 00:00:00
224,149,Standard,43.99,2,1080p,5,cancelled,2024-07-15,2025-02-26,true,2024-07-15 00:00:00
225,149,Standard,43.99,2,1080p,5,active,2020-06-07,,true,2020-06-07 00:00:00
226,150,Standard,43.99,2,1080p,5,cancelled,2024-04-06,2024-11-19,false,2024-04-06 00:00:00
227,150,Premium,59.99,4,4K,5,cancelled,2020-08-27,2021-04-08,true,2020-08-27 00:00:00
228,150,Basic,29.99,1,720p,2,active,2023-01-30,,true,2023-01-30 00:00:00
229,151,Basic,29.99,1,720p,2,cancelled,2020-05-10,2021-02-07,true,2020-05-10 00:00:00
230,151,Standard,43.99,2,1080p,5,expired,2021-10-10,2022-07-05,false,2021-10-10 00:00:00
231,151,Basic,29.99,1,720p,2,active,2021-11-15,,true,2021-11-15 00:00:00
232,152,Standard,43.99,2,1080p,5,expired,2020-02-29,2021-01-07,true,2020-02-29 00:00:00
233,152,Premium,59.99,4,4K,5,active,2020-01-24,,true,2020-01-24 00:00:00
234,153,Premium,59.99,4,4K,5,active,2024-07-24,,true,2024-07-24 00:00:00
235,154,Premium,59.99,4,4K,5,active,2024-06-22,,true,2024-06-22 00:00:00
236,155,Standard,43.99,2,1080p,5,cancelled,2024-07-01,2025-03-01,false,2024-07-01 00:00:00
237,155,Standard,43.99,2,1080p,5,active,2022-01-25,,true,2022-01-25 00:00:00
238,156,Premium,59.99,4,4K,5,active,2021-05-03,,true,2021-05-03 00:00:00
239,157,Basic,29.99,1,720p,2,active,2021-05-06,,true,2021-05-06 00:00:00
240,158,Basic,29.99,1,720p,2,cancelled,2024-07-09,2025-05-04,false,2024-07-09 00:00:00
241,158,Standard,43.99,2,1080p,5,active,2020-07-19,,true,2020-07-19 00:00:00
242,159,Standard,43.99,2,1080p,5,active,2024-02-29,,true,2024-02-29 00:00:00
243,160,Basic,29.99,1,720p,2,active,2023-04-05,,true,2023-04-05 00:00:00
244,161,Basic,29.99,1,720p,2,active,2024-12-14,,true,2024-12-14 00:00:00
245,162,Standard,43.99,2,1080p,5,active,2020-06-15,,true,2020-06-15 00:00:00
246,163,Standard,43.99,2,1080p,5,expired,2022-08-22,2022-11-03,false,2022-08-22 00:00:00
247,163,Basic,29.99,1,720p,2,active,2020-09-20,,true,2020-09-20 00:00:00
248,164,Premium,59.99,4,4K,5,expired,2023-11-22,2024-06-17,true,2023-11-22 00:00:00
249,164,Premium,59.99,4,4K,5,active,2021-10-08,,true,2021-10-08 00:00:00
250,165,Premium,59.99,4,4K,5,active,2022-12-06,,true,2022-12-06 00:00:00
251,166,Premium,59.99,4,4K,5,cancelled,2022-04-01,2023-02-08,false,2022-04-01 00:00:00
252,166,Basic,29.99,1,720p,2,active,2020-08-04,,true,2020-08-04 00:00:00
253,167,Premium,59.99,4,4K,5,active,2020-07-10,,true,2020-07-10 00:00:00
254,168,Basic,29.99,1,720p,2,active,2021-06-22,,true,2021-06-22 00:00:00
255,169,Basic,29.99,1,720p,2,active,2024-07-08,,true,2024-07-08 00:00:00
256,170,Premium,59.99,4,4K,5,active,2024-12-21,,true,2024-12-21 00:00:00
257,171,Standard,43.99,2,1080p,5,active,2021-03-20,,true,2021-03-20 00:00:00
258,172,Standard,43.99,2,1080p,5,active,2021-02-21,,true,2021-02-21 00:00:00
259,173,Premium,59.99,4,4K,5,active,2022-08-20,,true,2022-08-20 00:00:00
260,174,Premium,59.99,4,4K,5,expired,2020-07-08,2021-05-27,false,2020-07-08 00:00:00
261,174,Basic,29.99,1,720p,2,active,2022-04-19,,true,2022-04-19 00:00:00
262,175,Standard,43.99,2,1080p,5,active,2025-01-26,,true,2025-01-26 00:00:00
263,176,Standard,43.99,2,1080p,5,expired,2022-09-01,2022-10-03,true,2022-09-01 00:00:00
264,176,Basic,29.99,1,720p,2,cancelled,2023-08-23,2023-11-07,false,2023-08-23 00:00:00
265,176,Standard,43.99,2,1080p,5,active,2025-01-30,,true,2025-01-30 00:00:00
266,177,Basic,29.99,1,720p,2,active,2020-08-01,,true,2020-08-01 00:00:00
267,178,Premium,59.99,4,4K,5,active,2020-08-20,,true,2020-08-20 00:00:00
268,179,Basic,29.99,1,720p,2,active,2021-03-12,,true,2021-03-12 00:00:00
269,180,Premium,59.99,4,4K,5,active,2023-09-23,,true,2023-09-23 00:00:00
270,181,Standard,43.99,2,1080p,5,cancelled,2022-07-20,2022-11-10,true,2022-07-20 00:00:00
271,181,Basic,29.99,1,720p,2,expired,2022-08-20,2023-07-16,false,2022-08-20 00:00:00
272,181,Premium,59.99,4,4K,5,active,2022-05-14,,true,2022-05-14 00:00:00
273,182,Basic,29.99,1,720p,2,active,2023-03-12,,true,2023-03-12 00:00:00
274,183,Premium,59.99,4,4K,5,active,2023-08-24,,true,2023-08-24 00:00:00
275,184,Premium,59.99,4,4K,5,expired,2024-10-18,2025-01-22,false,2024-10-18 00:00:00
276,184,Standard,43.99,2,1080p,5,expired,2023-02-06,2023-05-23,false,2023-02-06 00:00:00
277,184,Basic,29.99,1,720p,2,active,2022-05-12,,true,2022-05-12 00:00:00
278,185,Basic,29.99,1,720p,2,cancelled,2021-09-12,2021-11-16,false,2021-09-12 00:00:00
279,185,Basic,29.99,1,720p,2,active,2022-08-26,,true,2022-08-26 00:00:00
280,186,Basic,29.99,1,720p,2,active,2022-03-21,,true,2022-03-21 00:00:00
281,187,Basic,29.99,1,720p,2,cancelled,2020-09-16,2021-02-10,false,2020-09-16 00:00:00
282,187,Basic,29.99,1,720p,2,expired,2025-01-06,2025-07-05,true,2025-01-06 00:00:00
283,187,Basic,29.99,1,720p,2,active,2020-06-11,,true,2020-06-11 00:00:00
284,188,Standard,43.99,2,1080p,5,active,2022-03-30,,true,2022-03-30 00:00:00
285,189,Standard,43.99,2,1080p,5,active,2025-04-28,,true,2025-04-28 00:00:00
286,190,Premium,59.99,4,4K,5,cancelled,2023-07-09,2024-01-28,false,2023-07-09 00:00:00
287,190,Basic,29.99,1,720p,2,expired,2022-03-11,2022-09-20,true,2022-03-11 00:00:00
288,190,Premium,59.99,4,4K,5,active,2022-10-11,,true,2022-10-11 00:00:00
289,191,Basic,29.99,1,720p,2,active,2021-01-20,,true,2021-01-20 00:00:00
290,192,Basic,29.99,1,720p,2,expired,2024-03-20,2024-09-04,false,2024-03-20 00:00:00
291,192,Standard,43.99,2,1080p,5,active,2022-05-30,,true,2022-05-30 00:00:00
292,193,Standard,43.99,2,1080p,5,active,2024-08-09,,true,2024-08-09 00:00:00
293,194,Basic,29.99,1,720p,2,active,2024-12-10,,true,2024-12-10 00:00:00
294,195,Premium,59.99,4,4K,5,active,2025-03-16,,true,2025-03-16 00:00:00
